,Titulo,Postado,Visualizacao,comentarios
1,MEU PRIMEIRO MILHÃO: Como fiquei milionária com 32 anos,2017-08-10,3.764.222'00,8.021'00
2,6 PASSOS PRÁTICOS PRA JUNTAR 10 MIL REAIS! O passo 6 é o mais difícil,2018-12-10,3.516.223'00,7.213'00
3,COMO SOBRAR DINHEIRO: 5 super dicas que funcionam,2018-03-26,3.220.023'00,3.830'00
4,TESOURO DIRETO: 5 PASSOS PRÁTICOS pra investir todo mês!,2018-04-12,3.199.986'00,6.779'00
0,Mulheres Que Mudam o Mundo: Zica Assis,2020-03-25,20.094.566'00,3.210'00
5,PRIMEIRO MILHÃO: 5 dicas para quem curte baixo risco e quer chegar lá!,2017-09-11,2.673.219'00,5.746'00
6,14 COISAS QUE VOCÊ NÃO PRECISA PAGAR NUNCA MAIS! A 8ª é inacreditável! (VAI SOBRAR DINHEIRO!),2019-12-05,2.465.375'00,6.832'00
7,COMO GANHAR (muito) DINHEIRO TRABALHANDO EM CASA? 6 dicas de afiliados digitais,2018-11-19,2.373.937'00,3.811'00
8,COMO ECONOMIZEI 200 MIL REAIS FAZENDO ISSO! MEUS 30 hábitos pra economizar e enriquecer!,2017-11-16,2.366.798'00,5.136'00
9,#FiqueEmCasa e Saia do Aperto #Comigo com Nathalia Arcuri e convidados,2020-04-05,2.331.974'00,465'00
10,MAKE DE RICA X MAKE DE POBRE com maquiagem de FARMÁCIA! Feat Duda Fernandes Semana da Beleza EP2,2018-05-09,2.2601'00,31'00
11,TESOURO SELIC NA PRÁTICA: INVESTI 105 REAIS e já sei quanto vou ganhar acima da poupança,2019-04-15,2.142.496'00,3.562'00
12,5 MANEIRAS DE GANHAR MIL REAIS (ou mais) LIMPOS TODO MÊS!,2018-10-15,2.108.593'00,10.741'00
14,7 LADRÕES DE DINHEIRO que você precisa conhecer HOJE! O sétimo vai te CHOCAR…,2018-10-29,2.0686'00,3.953'00
13,COMO LIMPAR SEU NOME E SAIR DAS DÍVIDAS (pra sempre): 4 PASSOS PODEROSOS!,2018-11-26,2.068.682'00,6.620'00
15,AS 4 ESTRATÉGIAS PRA SAIR DE UM SALÁRIO MÍNIMO PARA O PRIMEIRO MILHÃO! Eu já usei duas!,2019-02-18,2.065.862'00,3.838'00
16,CASA PRÓPRIA NÃO É INVESTIMENTO!  A mentira que você acreditou a vida toda...,2019-04-04,2.015.846'00,17.755'00
17,5 PRODUTOS DE LIMPEZA que ficam MAIS CAROS porque você não sabe usar! (É o fim do desperdício!),2019-08-29,1.923.257'00,8.266'00
18,"TUDO SOBRE RENDA FIXA! LCI, LCA, CDB e LC (ISSO NINGUÉM TE CONTA)",2018-03-27,1.839.172'00,3.841'00
